Time;69_10;69_36;69_49;69_62;69_75;69_88;69_101;69_790;69_894;69_933;69_946
17.01.2023 09:41:09.070000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.120000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.170000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.220000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.270000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.320000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.370000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.420000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.470000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.520000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.570000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.620000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.670000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.720000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.770000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.820000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.870000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.920000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:09.970000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.020000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.070000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.120000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.170000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.220000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.270000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.320000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.370000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.420000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.470000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.520000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.570000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.620000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.670000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.720000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.770000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.820000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.870000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.920000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:10.970000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:11.020000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:11.070000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:11.120000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:11.170000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:11.220000;0;0;1;0;1;1;1;1;0;0;1
17.01.2023 09:41:11.270000;0;0;1;0;1;1;1;1;0;0;1
