Column,Statistic,Critical Values,Significance Levels
13_1,518.9348724289739,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_0,2368.004166356055,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_1,4015.511138930786,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_2,3416.855939281915,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_3,3258.953156584539,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_5,25014.84164205355,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_6,25028.59039747913,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_7,14473.490926599916,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_8,22553.300236342504,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_10,4333.074940808845,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_11,4238.866413854819,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_15,7793.213394082777,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_16,8787.161032435717,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_17,9656.896809174606,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_18,8315.040624377507,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_20,23784.751748186725,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_21,23801.576851989128,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_22,12335.001983694805,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_23,22137.56220495375,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_25,4892.512585141769,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_26,4849.522237067984,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_27,21147.389026984703,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_28,,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
